DAY 13 - RATIO EDGE CASES
============================================================
BAJAJHLDNG Mar 2015 ROCE Difference = 9.49 (Source=13.1, Engine=3.61) | Category: Sector-specific
BAJAJHLDNG Mar 2016 ROCE Difference = 10.29 (Source=13.1, Engine=2.81) | Category: Sector-specific
BAJAJHLDNG Mar 2017 ROCE Difference = 9.58 (Source=13.1, Engine=3.52) | Category: Sector-specific
BAJAJHLDNG Mar 2018 ROCE Difference = 11.69 (Source=13.1, Engine=1.41) | Category: Sector-specific
BAJAJHLDNG Mar 2019 ROCE Difference = 11.81 (Source=13.1, Engine=1.29) | Category: Sector-specific
BAJAJHLDNG Mar 2020 ROCE Difference = 12.02 (Source=13.1, Engine=1.08) | Category: Sector-specific
BAJAJHLDNG Mar 2021 ROCE Difference = 12.16 (Source=13.1, Engine=0.94) | Category: Sector-specific
BAJAJHLDNG Mar 2022 ROE Difference = 5.17 (Source=14.8, Engine=9.63) | Category: Sector-specific
BAJAJHLDNG Mar 2022 ROCE Difference = 12.25 (Source=13.1, Engine=0.85) | Category: Sector-specific
BAJAJHLDNG Mar 2023 ROCE Difference = 12.24 (Source=13.1, Engine=0.86) | Category: Sector-specific
BAJAJHLDNG Mar 2024 ROCE Difference = 10.22 (Source=13.1, Engine=2.88) | Category: Sector-specific
BAJFINANCE Mar 2015 ROCE Difference = 6.33 (Source=11.9, Engine=5.57) | Category: Sector-specific
BAJFINANCE Mar 2016 ROCE Difference = 6.60 (Source=11.9, Engine=5.30) | Category: Sector-specific
BAJFINANCE Mar 2017 ROCE Difference = 6.38 (Source=11.9, Engine=5.52) | Category: Sector-specific
BAJFINANCE Mar 2018 ROE Difference = 6.35 (Source=22.1, Engine=15.75) | Category: Sector-specific
BAJFINANCE Mar 2018 ROCE Difference = 6.91 (Source=11.9, Engine=4.99) | Category: Sector-specific
BAJFINANCE Mar 2019 ROCE Difference = 7.40 (Source=11.9, Engine=4.50) | Category: Sector-specific
BAJFINANCE Mar 2020 ROE Difference = 5.82 (Source=22.1, Engine=16.28) | Category: Sector-specific
BAJFINANCE Mar 2020 ROCE Difference = 6.25 (Source=11.9, Engine=5.65) | Category: Sector-specific
BAJFINANCE Mar 2021 ROE Difference = 10.13 (Source=22.1, Engine=11.97) | Category: Sector-specific
BAJFINANCE Mar 2021 ROCE Difference = 5.47 (Source=11.9, Engine=6.43) | Category: Sector-specific
BAJFINANCE Mar 2022 ROE Difference = 6.02 (Source=22.1, Engine=16.08) | Category: Sector-specific
BAJFINANCE Mar 2022 ROCE Difference = 6.21 (Source=11.9, Engine=5.69) | Category: Sector-specific
BAJFINANCE Mar 2023 ROCE Difference = 7.22 (Source=11.9, Engine=4.68) | Category: Sector-specific
BAJFINANCE Mar 2024 ROCE Difference = 7.55 (Source=11.9, Engine=4.35) | Category: Sector-specific
BANKBARODA Mar 2015 ROE Difference = 7.30 (Source=16.7, Engine=9.40) | Category: Sector-specific
BANKBARODA Mar 2016 ROE Difference = 28.54 (Source=16.7, Engine=-11.84) | Category: Sector-specific
BANKBARODA Mar 2017 ROE Difference = 12.39 (Source=16.7, Engine=4.31) | Category: Sector-specific
BANKBARODA Mar 2018 ROE Difference = 20.64 (Source=16.7, Engine=-3.94) | Category: Sector-specific
BANKBARODA Mar 2019 ROE Difference = 14.58 (Source=16.7, Engine=2.12) | Category: Sector-specific
BANKBARODA Mar 2020 ROE Difference = 15.41 (Source=16.7, Engine=1.29) | Category: Sector-specific
BANKBARODA Mar 2021 ROE Difference = 14.73 (Source=16.7, Engine=1.97) | Category: Sector-specific
BANKBARODA Mar 2022 ROE Difference = 8.06 (Source=16.7, Engine=8.64) | Category: Sector-specific
BHARTIARTL Mar 2013 ROE Difference = 10.40 (Source=14.9, Engine=4.50) | Category: Source data issue
BHARTIARTL Mar 2013 ROCE Difference = 6.51 (Source=13.1, Engine=19.61) | Category: Source data issue
BHARTIARTL Mar 2014 ROE Difference = 9.85 (Source=14.9, Engine=5.05) | Category: Source data issue
BHARTIARTL Mar 2014 ROCE Difference = 6.44 (Source=13.1, Engine=19.54) | Category: Source data issue
BHARTIARTL Mar 2015 ROCE Difference = 14.18 (Source=13.1, Engine=27.28) | Category: Source data issue
BHARTIARTL Mar 2016 ROCE Difference = 7.20 (Source=13.1, Engine=20.30) | Category: Source data issue
BHARTIARTL Mar 2017 ROE Difference = 8.61 (Source=14.9, Engine=6.29) | Category: Source data issue
BHARTIARTL Mar 2017 ROCE Difference = 7.12 (Source=13.1, Engine=20.22) | Category: Source data issue
BHARTIARTL Mar 2018 ROE Difference = 11.76 (Source=14.9, Engine=3.14) | Category: Source data issue
BHARTIARTL Mar 2019 ROE Difference = 12.54 (Source=14.9, Engine=2.36) | Category: Source data issue
BHARTIARTL Mar 2020 ROE Difference = 54.65 (Source=14.9, Engine=-39.75) | Category: Source data issue
BHARTIARTL Mar 2021 ROE Difference = 35.87 (Source=14.9, Engine=-20.97) | Category: Source data issue
BHARTIARTL Mar 2021 ROCE Difference = 7.32 (Source=13.1, Engine=20.42) | Category: Source data issue
BHARTIARTL Mar 2022 ROCE Difference = 11.25 (Source=13.1, Engine=24.35) | Category: Source data issue
BHARTIARTL Mar 2023 ROCE Difference = 10.38 (Source=13.1, Engine=23.48) | Category: Source data issue
BHARTIARTL Mar 2024 ROCE Difference = 13.15 (Source=13.1, Engine=26.25) | Category: Source data issue
BEL Mar 2013 ROE Difference = 15157.03 (Source=26.3, Engine=15183.33) | Category: Formula discrepancy
BEL Mar 2013 ROCE Difference = 2195.40 (Source=34.6, Engine=2230.00) | Category: Formula discrepancy
BEL Mar 2014 ROE Difference = 13573.70 (Source=26.3, Engine=13600.00) | Category: Formula discrepancy
BEL Mar 2014 ROCE Difference = 3268.97 (Source=34.6, Engine=3303.57) | Category: Formula discrepancy
BEL Mar 2015 ROE Difference = 17073.70 (Source=26.3, Engine=17100.00) | Category: Formula discrepancy
BEL Mar 2015 ROCE Difference = 3538.13 (Source=34.6, Engine=3572.73) | Category: Formula discrepancy
BEL Mar 2016 ROE Difference = 11115.37 (Source=26.3, Engine=11141.67) | Category: Formula discrepancy
